trip_id,route_id,service_id,shape_id
0,7804653,Mo-Su,7804653
1,7809311,Mo-Su,7809311
2,7809722,Mo-Su,7809722
3,7809725,Mo-Su,7809725
4,8422678,Mo-Su,8422678
5,8517482,Mo-Fr,8517482
6,8538454,Mo-Su,8538454
7,8543666,Mo-Su,8543666
8,9317022,Mo-Su,9317022
9,9353130,Mo-Su,9353130
10,9377736,Mo-Su,9377736
11,9377737,Mo-Su,9377737
12,9379031,Mo-Su,9379031
13,9381264,Mo-Su,9381264
14,9382420,Mo-Su,9382420
15,9416597,Mo-Su,9416597
16,9423331,Mo-Su,9423331
17,9423392,Mo-Su,9423392
18,9425611,Mo-Su,9425611
19,9429001,Mo-Su,9429001
20,9437459,Mo-Su,9437459
21,9467267,Mo-Su,9467267
22,9475383,Mo-Su,9475383
23,10253969,Mo-Su,10253969
24,10254160,Mo-Su,10254160
25,10254174,Mo-Su,10254174
26,10254221,Mo-Su,10254221
27,10254391,Mo-Su,10254391
28,10254480,Mo-Su,10254480
29,10254605,Mo-Su,10254605
30,10254606,Mo-Su,10254606
31,10254716,Mo-Su,10254716
32,10255024,Mo-Su,10255024
33,10255025,Mo-Su,10255025
34,10255026,Mo-Su,10255026
35,10255027,Mo-Su,10255027
36,10255126,Mo-Su,10255126
37,10255142,Mo-Su,10255142
38,10256569,Mo-Su,10256569
39,10256570,Mo-Su,10256570
40,10256571,Mo-Su,10256571
41,10256805,Mo-Su,10256805
42,10257511,Mo-Su,10257511
43,10257512,Mo-Su,10257512
44,10257680,Mo-Su,10257680
45,10258507,Mo-Su,10258507
46,10258702,Mo-Su,10258702
47,10258703,Mo-Su,10258703
48,10258873,Mo-Su,10258873
49,10259073,Mo-Su,10259073
50,10259074,Mo-Su,10259074
51,10261193,Mo-Su,10261193
52,10261371,Mo-Su,10261371
53,10263255,Mo-Su,10263255
54,10263539,Mo-Su,10263539
55,10263540,Mo-Su,10263540
56,10263580,Mo-Su,10263580
57,16805300,Mo-Fr,16805300
58,17383390,Mo-Su,17383390
59,17675641,Mo-Su,17675641
60,17767401,Mo-Su,17767401
61,18750470,Mo-Su,18750470
62,19198167,Mo-Fr,19198167
63,19422164,Mo-Su,19422164
